url,Bottling_serie,Vintage,Bottled,Number_of_bottles,Strength,Size,Casktype,Bottled_for,Stated_Age,Casknumber,Bottle_code,Calculated_age,Label,Barcode,rating,votes,category,price,distillery,bottler
https://www.whiskybase.com/whiskies/whisky/7307/ardbeg-1974-provenance,4th Release,1974,2000,750,55,750 ml,,US and Asian market,,,,26,,,94.41,55,Single Malt,4950,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/17255/macallan-1952-80-proof,Rinaldi Import,1952,,,45.85,750 ml,,,15,,,,,,94.4,30,Single Malt,9516.18,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/17646/macallan-1959,Rinaldi Import,1959,,,40,750 ml,Matured in Sherry Wood,"by Campbell, Hope & King, Elgin",,,,,,,94.4,45,Single Malt,7320,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/888/ardbeg-1972,,1972,2004,216,49.2,700 ml,Bourbon Hogshead,,31,2781,,32,,5010494232271,94.35,58,Single Malt,4880,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/1434/ardbeg-1976,The Ardbeg Committee,1976,2000,466,53.2,700 ml,Sherry Butt,,,2394,,24,,,94.34,50,Single Malt,5154.46,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/682/ardbeg-1974,,1974,2006,117,54.1,700 ml,Bourbon Cask,,,3327,,32,,,94.34,34,Single Malt,4514,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/86531/macallan-1971,Fine & Rare,1971,2002,,55.9,50 ml,,,30,7556,,31,,,94.33,17,Single Malt,19247.32,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/162171/macallan-1971,Fine & Rare,1971,2002,515,55.9,50 ml 700 ml,Sherry wood,,30,7556,,31,,,94.33,17,Single Malt,0,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/1305/ardbeg-1975,Manager's Choice,1975,2000,248,46.7,700 ml,Sherry Hogshead,,,4700,,25,,,94.3,35,Single Malt,3076.4,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/14389/springbank-1966,Local Barley - West Highland,1966,1990,,60.7,50 ml 750 ml,Oak Sherry Cask,,24,1966 441,,24,,,94.3,46,Single Malt,17170.06,Springbank,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/1289/ardbeg-1972,,1972,2004,216,45.3,700 ml,Bourbon Hogshead,,32,861,,32,,5010494228274,94.29,59,Single Malt,9150,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/23894/bowmore-1966-dt,Peerless,1966,,171,44.9,700 ml,,,43,3313,,,,,94.29,33,Single Malt,2670,Bowmore,Duncan Taylor (DT)
https://www.whiskybase.com/whiskies/whisky/1291/ardbeg-1975,,1975,2002,228,44.8,700 ml,Sherry hogshead,,,4716,,27,,,94.26,45,Single Malt,2962.82,Ardbeg,Distillery Bottling
